# case	disease	pipeline_name	pipeline_version	timestamp	C3Y	DCC_path	filesize	file_format	md5sum	sample_name	sample_uuid
C3L-02619	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02619.singleCaller.fixedHeader.vcf.gz	13974413	VCF	288bc8d2335fe260a4c71fb7726119fc	C3L-02619.WXS.N.hg38	34a67dfe-a2d6-474f-a7e9-3c29d9dae9f8
C3L-02624	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02624.maf.gz	20363319	MAF	3d16dddbadce1cf4096b62070dc886bd	C3L-02624.WXS.N.hg38	48d7558e-19fa-4c43-b7a9-9856b66a9a8a
C3L-02624	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02624.singleCaller.fixedHeader.vcf.gz	13033494	VCF	7123072ac7e2c3f0d3ef1961d5b05f34	C3L-02624.WXS.N.hg38	48d7558e-19fa-4c43-b7a9-9856b66a9a8a
C3L-02625	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02625.maf.gz	19033986	MAF	61c6f25f3b2eb3785d04b6255ecf3488	C3L-02625.WXS.N.hg38	2f6f9af5-6508-440e-8574-4a543fe0a178
C3L-02625	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02625.singleCaller.fixedHeader.vcf.gz	12471267	VCF	c01e4ef4f273d72b02cb728350fca4f5	C3L-02625.WXS.N.hg38	2f6f9af5-6508-440e-8574-4a543fe0a178
C3L-02627	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02627.maf.gz	21488227	MAF	b67c0e2d35b25e51ba7d9dbd553faf4e	C3L-02627.WXS.N.hg38	aea309eb-a90e-42aa-9be6-30c600769711
C3L-02627	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02627.singleCaller.fixedHeader.vcf.gz	15287677	VCF	fc956f02fd82affea71938e9e58d6f31	C3L-02627.WXS.N.hg38	aea309eb-a90e-42aa-9be6-30c600769711
C3L-02629	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02629.maf.gz	22492544	MAF	457a7bf5bed6d1e4b88a852d34c7ee52	C3L-02629.WXS.N.hg38	899cf82a-0664-4a9b-9b46-03a762cbfef6
C3L-02629	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02629.singleCaller.fixedHeader.vcf.gz	13346518	VCF	10cb5c5353625f9dbfde5490a5b7a0a3	C3L-02629.WXS.N.hg38	899cf82a-0664-4a9b-9b46-03a762cbfef6
C3L-02646	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02646.maf.gz	16198101	MAF	0f668712f2dcf2d48cb3c78ffecf1c81	C3L-02646.WXS.N.hg38	3ec28d87-2158-4bc0-a3b4-7a1c7d9baff8
